date,hour,price_eur,price,volume,cloud_cover,global_tilted_irradiance,precipitation,temperature_2m,wind_speed_10m
2025-03-26,3,100.17,195.92,2817.0,97.77777777777777,0.0,0.07777777777777778,11.988888888888887,4.711111111111112
2025-03-26,4,103.19,201.82,2718.2,99.88888888888889,0.0,0.17777777777777776,11.644444444444444,5.4
2025-03-26,5,112.65,220.32,2501.6,98.22222222222223,0.0,0.23333333333333334,11.488888888888889,4.333333333333333
2025-03-26,6,136.06,266.11,2373.8,95.22222222222223,0.0,0.1,11.28888888888889,4.011111111111111
2025-03-26,7,150.0,293.37,2723.6,94.22222222222223,11.488888888888889,0.03333333333333334,11.744444444444444,3.744444444444445
2025-03-26,8,137.79,269.49,3070.0,92.66666666666667,64.04444444444444,0.39999999999999997,12.577777777777778,3.7888888888888883
2025-03-26,9,112.03,219.11,2547.8,93.0,162.85555555555553,0.24444444444444446,13.422222222222222,3.811111111111112
2025-03-26,10,100.14,195.86,2413.2,93.22222222222223,313.9888888888889,0.15555555555555556,14.966666666666665,4.2444444444444445
2025-03-26,11,96.85,189.42,2569.1,92.88888888888889,406.2111111111111,0.12222222222222223,15.988888888888889,5.711111111111111
2025-03-26,12,95.05,185.9,2544.7,86.33333333333333,459.94444444444446,0.06666666666666668,16.644444444444446,7.0
2025-03-26,13,85.69,167.6,2714.2,97.0,424.6333333333333,0.07777777777777778,16.9,7.055555555555555
2025-03-26,14,99.28,194.17,2621.2,97.77777777777777,373.76666666666665,0.07777777777777778,16.844444444444445,8.044444444444444
2025-03-26,15,103.78,202.98,2529.2,100.0,304.97777777777776,0.7,16.8,8.011111111111111
2025-03-26,16,121.65,237.93,2636.8,99.77777777777777,187.72222222222223,0.15555555555555556,16.233333333333334,7.788888888888888
2025-03-26,17,146.42,286.37,2762.3,98.0,137.7111111111111,0.17777777777777778,15.622222222222222,6.555555555555555
2025-03-26,18,168.38,329.32,3079.6,97.22222222222223,62.37777777777777,0.15555555555555556,14.422222222222224,6.188888888888888
2025-03-26,19,173.64,339.61,2396.8,94.33333333333333,8.399999999999999,0.15555555555555556,13.011111111111111,6.522222222222222
2025-03-26,20,157.65,308.34,2502.4,97.11111111111111,0.0,0.4,12.38888888888889,6.766666666666667
2025-03-26,21,131.93,258.03,2770.6,99.55555555555556,0.0,0.6555555555555554,12.11111111111111,5.266666666666667
2025-03-26,22,124.94,244.36,2302.5,98.22222222222223,0.0,0.5333333333333334,11.61111111111111,4.433333333333334
2025-03-26,23,110.7,216.51,2150.6,99.88888888888889,0.0,0.2777777777777778,11.233333333333336,4.2333333333333325
2025-03-27,0,105.16,205.68,2543.3,100.0,0.0,0.1111111111111111,10.777777777777779,4.488888888888889
2025-03-27,1,99.41,194.43,2692.1,99.88888888888889,0.0,0.011111111111111112,10.4,4.2444444444444445
