date,hour,price,cloud_cover,global_tilted_irradiance,precipitation,temperature_2m,wind_speed_10m
2024-05-11,2,164.23,36.666666666666664,0.0,0.0,10.466666666666665,8.455555555555556
2024-05-11,3,162.24,56.44444444444444,0.0,0.0,10.177777777777777,9.988888888888887
2024-05-11,4,163.61,52.55555555555556,0.0,0.0,9.88888888888889,9.711111111111114
2024-05-11,5,167.99,36.55555555555556,0.0,0.0,9.7,9.466666666666667
2024-05-11,6,158.5,40.888888888888886,20.82222222222222,0.0,10.255555555555555,9.433333333333332
2024-05-11,7,114.24,37.333333333333336,103.75555555555555,0.0,12.155555555555555,8.788888888888888
2024-05-11,8,66.67,35.111111111111114,287.6666666666667,0.0,14.033333333333333,9.188888888888888
2024-05-11,9,13.22,47.888888888888886,503.9222222222222,0.0,15.733333333333333,8.966666666666665
2024-05-11,10,0.0,45.55555555555556,678.3555555555555,0.0,17.18888888888889,8.533333333333333
2024-05-11,11,0.08,42.77777777777778,833.1666666666666,0.0,18.433333333333334,7.922222222222223
2024-05-11,12,0.08,59.0,886.4777777777779,0.0,19.266666666666666,8.088888888888889
2024-05-11,13,0.08,50.666666666666664,904.5666666666666,0.0,19.755555555555553,8.033333333333333
2024-05-11,14,0.08,46.0,850.111111111111,0.0,19.966666666666672,7.800000000000001
2024-05-11,15,3.6,63.44444444444444,618.8888888888889,0.0,19.977777777777778,6.71111111111111
2024-05-11,16,0.1,48.111111111111114,496.5111111111112,0.0,19.755555555555556,5.966666666666666
2024-05-11,17,95.31,29.333333333333332,375.6666666666667,0.0,19.477777777777778,6.777777777777778
2024-05-11,18,166.28,34.77777777777778,192.95555555555558,0.0,18.677777777777777,4.71111111111111
2024-05-11,19,208.45,37.22222222222222,50.766666666666666,0.0,16.600000000000005,5.844444444444444
2024-05-11,20,292.28,47.666666666666664,5.877777777777776,0.0,15.444444444444445,5.6
2024-05-11,21,250.78,44.111111111111114,0.0,0.0,14.499999999999996,5.744444444444444
2024-05-11,22,175.03,29.555555555555557,0.0,0.0,13.955555555555554,5.366666666666667
2024-05-11,23,153.12,30.666666666666668,0.0,0.0,12.955555555555556,5.455555555555555
2024-05-12,0,123.57,25.11111111111111,0.0,0.0,12.2,5.888888888888889
2024-05-12,1,101.14,29.88888888888889,0.0,0.0,11.933333333333334,6.022222222222222
2024-05-12,2,83.94,35.111111111111114,0.0,0.0,11.966666666666667,6.277777777777779
2024-05-12,3,76.96,23.88888888888889,0.0,0.0,11.688888888888888,7.155555555555555
2024-05-12,4,85.29,30.555555555555557,0.0,0.0,11.222222222222221,7.155555555555556
2024-05-12,5,80.8,43.666666666666664,0.0,0.0,10.68888888888889,6.811111111111111
2024-05-12,6,34.44,51.22222222222222,22.37777777777778,0.0,11.700000000000001,7.055555555555555
2024-05-12,7,9.49,56.44444444444444,104.57777777777778,0.0,14.044444444444444,6.866666666666666
2024-05-12,8,4.6,49.0,272.02222222222224,0.0,16.011111111111113,5.855555555555556
2024-05-12,9,0.08,56.0,468.21111111111117,0.0,17.766666666666666,7.166666666666667
2024-05-12,10,1.62,64.55555555555556,628.888888888889,0.022222222222222223,18.777777777777782,9.31111111111111
2024-05-12,11,19.56,69.88888888888889,708.2666666666665,0.03333333333333334,19.46666666666667,8.866666666666667
