datetime,kwh,kwhDelta,timeDelta,name,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,kwhEstimate,kwhIdeal
2024-08-15T09:50:00.0,7319.7,1.949999999999818,300000 milliseconds,karaisen,29.21666666666667,29.05,15.4,43.48833333333334,0.0,0,,0,0,16.666666666666668,7.516666666666667,86.83333333333333,1015.15,18.26666666666667,16.466666666666665,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.9243804728567822,2.242796235151152
2024-08-15T09:55:00.0,7321.65,1.9400000000005093,300000 milliseconds,karaisen,29.508333333333333,29.325000000000003,15.350000000000001,42.564166666666665,0.0,0,,0,0,16.78333333333333,7.308333333333334,86.91666666666666,1015.175,18.133333333333333,16.03333333333333,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.9325869511254332,2.250599687812993
2024-08-15T10:00:00.0,7323.59,1.9799999999995634,300000 milliseconds,karaisen,29.8,29.6,15.3,41.64,0.0,0,,0,0,16.9,7.1,87.0,1015.2,18.0,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.9397561649952413,2.2571839428828575
2024-08-15T10:05:00.0,7325.57,1.9900000000006912,300000 milliseconds,karaisen,29.975,29.75,15.25,41.119166666666665,0.0,0,,0,0,16.65833333333333,7.0,85.91666666666667,1015.2,17.325,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.952052470167701,2.2625445729064397
2024-08-15T10:10:00.0,7327.56,1.9799999999995634,300000 milliseconds,karaisen,30.150000000000002,29.9,15.2,40.59833333333333,0.0,0,,0,0,16.416666666666664,6.9,84.83333333333334,1015.2,16.65,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.9633222235556853,2.2666779695903827
2024-08-15T10:15:00.0,7329.54,1.9899999999997817,300000 milliseconds,karaisen,30.325000000000003,30.049999999999997,15.149999999999999,40.07749999999999,0.0,0,,0,0,16.174999999999997,6.800000000000001,83.75000000000001,1015.2,15.974999999999998,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.9735504921010083,2.269581349545264
2024-08-15T10:20:00.0,7331.53,1.9700000000002547,300000 milliseconds,karaisen,30.500000000000004,30.199999999999996,15.099999999999998,39.55666666666666,0.0,0,,0,0,15.93333333333333,6.700000000000001,82.66666666666669,1015.2,15.299999999999999,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.9827230211589184,2.2712527498643054
2024-08-15T10:25:00.0,7333.5,1.9600000000000364,300000 milliseconds,karaisen,30.675000000000004,30.349999999999994,15.049999999999997,39.03583333333333,0.0,0,,0,0,15.691666666666663,6.600000000000001,81.58333333333334,1015.2,14.625,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.9908262511892914,2.2716910312597776
2024-08-15T10:30:00.0,7335.46,1.9799999999995634,300000 milliseconds,karaisen,30.850000000000005,30.499999999999996,14.999999999999998,38.51499999999999,0.0,0,,0,0,15.449999999999998,6.500000000000001,80.50000000000001,1015.2,13.95,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.9978473301956003,2.2708958762933262
2024-08-15T10:35:00.0,7337.44,1.9700000000002547,300000 milliseconds,karaisen,31.025000000000006,30.65,14.95,37.99416666666666,0.0,0,,0,0,15.208333333333332,6.4,79.41666666666669,1015.2,13.274999999999999,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",2.0037741284460138,2.268867790231207
2024-08-15T10:40:00.0,7339.41,1.9600000000000364,300000 milliseconds,karaisen,31.200000000000003,30.799999999999997,14.899999999999999,37.47333333333333,0.0,0,,0,0,14.966666666666665,6.300000000000001,78.33333333333334,1015.2,12.6,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",2.0085952516636274,2.265608100153095
2024-08-15T10:45:00.0,7341.37,1.9600000000000364,300000 milliseconds,karaisen,31.375,30.949999999999996,14.849999999999998,36.9525,0.0,0,,0,0,14.724999999999998,6.200000000000001,77.25,1015.2,11.925,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",2.012300056849362,2.261118957039513
2024-08-15T10:50:00.0,7343.33,1.9600000000000364,300000 milliseconds,karaisen,31.55,31.099999999999998,14.799999999999999,36.431666666666665,0.0,0,,0,0,14.483333333333333,6.1000000000000005,76.16666666666667,1015.2,11.25,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",2.0148786632158964,2.255403332339027
2024-08-15T10:55:00.0,7345.29,1.9399999999995998,300000 milliseconds,karaisen,31.725,31.25,14.75,35.91083333333333,0.0,0,,0,0,14.241666666666667,6.0,75.08333333333334,1015.2,10.575,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",2.0163219704922573,2.248465022832753
2024-08-15T11:00:00.0,7347.23,1.9500000000007276,300000 milliseconds,karaisen,31.9,31.4,14.7,35.39,0.0,0,,0,0,14.0,5.9,74.0,1015.2,9.9,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",2.016621667495112,2.240308644575744
2024-08-15T11:05:00.0,7349.18,1.9399999999995998,300000 milliseconds,karaisen,32.05,31.55833333333333,14.716666666666667,35.130833333333335,0.0,0,,0,0,14.183333333333334,5.883333333333334,96.58333333333333,1015.1750000000001,9.075000000000001,15.983333333333333,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",2.017455170024103,2.230939640433766
2024-08-15T11:10:00.0,7351.12,1.9099999999998545,300000 milliseconds,karaisen,32.199999999999996,31.716666666666665,14.733333333333334,34.87166666666667,0.0,0,,0,0,14.366666666666667,5.866666666666667,119.16666666666666,1015.1500000000001,8.250000000000002,16.366666666666667,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",2.017114901535628,2.220364271492733
2024-08-15T11:15:00.0,7353.03,1.9099999999998545,300000 milliseconds,karaisen,32.349999999999994,31.875,14.75,34.612500000000004,0.0,0,,0,0,14.55,5.8500000000000005,141.75,1015.1250000000001,7.425000000000002,16.75,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",2.015592298778172,2.208589627284746
2024-08-15T11:20:00.0,7354.94,1.910000000000764,300000 milliseconds,karaisen,32.49999999999999,32.03333333333333,14.766666666666667,34.35333333333334,0.0,0,,0,0,14.733333333333334,5.833333333333334,164.33333333333334,1015.1000000000001,6.600000000000001,17.133333333333333,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",2.012879667322635,2.1956236165518628
